Scene,PSF-aware RMSE,PSF-aware Corr,PSF-aware n,Nearest-neighbor RMSE,Nearest-neighbor Corr,Nearest-neighbor n,Bilinear RMSE,Bilinear Corr,Bilinear n,Bicubic RMSE,Bicubic Corr,Bicubic n,Richardson-Lucy RMSE,Richardson-Lucy Corr,Richardson-Lucy n
urban,0.033450007172439844,0.8113310271889737,21688,0.03885925966190454,0.7348294919462777,21688,0.0396879137538796,0.72327212330766,21688,0.038215101413455015,0.7476271323920008,21688,0.03933093997120008,0.7241376500695292,21688
water,0.007779678710268363,0.9089619274684188,21659,0.009001469362599039,0.8758071392069378,21659,0.009194439360517982,0.8700640269941126,21659,0.00886272934185017,0.8800048189115773,21659,0.00828292842797715,0.8961771820643755,21659
forest,0.01268602087451888,0.9751459550202665,21679,0.015974542157457465,0.9604959874546116,21679,0.01627875725415949,0.9591687103439518,21679,0.015273689072586877,0.9640777544091524,21679,0.01386304821981313,0.9705329098586917,21679
agriculture,0.011010379096887282,0.9907209274221681,21676,0.01473911050018099,0.9834941649509441,21676,0.014965301804281636,0.9831306331210451,21676,0.013784952479444999,0.9856402674782211,21676,0.01176217118904384,0.9894434101012906,21676
