method,n_patches,operator_build_s_mean_s,operator_build_s_sd_s,operator_build_s_median_s,operator_build_s_q25_s,operator_build_s_q75_s,solve_s_mean_s,solve_s_sd_s,solve_s_median_s,solve_s_q25_s,solve_s_q75_s,projection_s_mean_s,projection_s_sd_s,projection_s_median_s,projection_s_q25_s,projection_s_q75_s,method_total_s_mean_s,method_total_s_sd_s,method_total_s_median_s,method_total_s_q25_s,method_total_s_q75_s,npt_median,npt_q25,npt_q75,operator_nnz_median,operator_nnz_q25,operator_nnz_q75,operator_density_median,operator_density_q25,operator_density_q75,n_cells_estimated_median,n_cells_estimated_q25,n_cells_estimated_q75
bicubic,357,0.0,0.0,0.0,0.0,0.0,0.786172205078773,0.042592974780454394,0.7719336561858654,0.7651070775464177,0.7858025832101703,0.0,0.0,0.0,0.0,0.0,0.786172205078773,0.042592974780454394,0.7719336561858654,0.7651070775464177,0.7858025832101703,,,,,,,,,,169936.0,169703.0,170414.0
bilinear,357,0.0,0.0,0.0,0.0,0.0,0.11934023229431372,0.03803537865947669,0.11043723300099373,0.10934420395642519,0.11163421999663115,0.0,0.0,0.0,0.0,0.0,0.11934023229431372,0.03803537865947669,0.11043723300099373,0.10934420395642519,0.11163421999663115,,,,,,,,,,169936.0,169703.0,170414.0
nearest,357,0.0,0.0,0.0,0.0,0.0,0.15222362005764864,0.0682156728287656,0.1250980608165264,0.1235973984003067,0.13672341778874397,0.0,0.0,0.0,0.0,0.0,0.15222362005764864,0.0682156728287656,0.1250980608165264,0.1235973984003067,0.13672341778874397,,,,,,,,,,169936.0,169703.0,170414.0
psf_aware_matched,357,0.3216254821005447,0.06678078584330095,0.30150078795850277,0.2959162313491106,0.3086963687092066,0.07227292985600584,0.004065777822274784,0.07160337828099728,0.07102371472865343,0.07190918922424316,2.0882692686269055,0.5900589748333912,1.8008120050653815,1.5873319106176496,2.62396134249866,2.482167680583456,0.6044229062010722,2.268644629046321,1.9959592130035162,3.015948871150613,22.0,22.0,22.0,1441792.0,1441792.0,1441792.0,0.00012846040208105853,0.00012807600728868915,0.00012862939532490617,171259.0,171034.0,171773.0
psf_aware_minus50,357,0.20684405341118323,0.06548648089122786,0.18121750839054585,0.17654187977313995,0.20251373667269945,0.02602336458673998,0.010360170676183946,0.024666725657880306,0.023560388013720512,0.025033517740666866,2.068294135699732,0.5375236982444834,1.8629144486039877,1.620937667787075,2.601773178204894,2.3011615536976553,0.5434663287862738,2.0806212229654193,1.8609430957585573,2.8207985470071435,9.0,9.0,9.0,589824.0,589824.0,589824.0,5.312994403645895e-05,5.297171310520182e-05,5.320092214931725e-05,169396.0,169170.0,169902.0
psf_aware_plus50,357,0.5787644524633342,0.10276675166394486,0.552400198765099,0.5117888897657394,0.6084701223298907,0.282585339130265,0.019457621747554537,0.27936779893934727,0.27887362241744995,0.27988400869071484,2.10640323854962,0.5734364683185996,1.8438393771648407,1.599183401092887,2.6532213781028986,2.967753030143219,0.6004993403477817,2.751552088186145,2.4981048917397857,3.5438440032303333,48.0,48.0,48.0,3145728.0,3145728.0,3145728.0,0.00027708666462700096,0.00027627330336535416,0.00027746145886922897,173231.0,172997.0,173741.0
