scene,rmse_vs_cell_average,rmse_vs_point_sample,n_cells_compared
urban,0.06839533150196075,0.16587233543395996,169853
water,0.021127164363861084,0.04986518621444702,169818
forest,0.02416088990867138,0.06085148826241493,169852
agriculture,0.015508480370044708,0.03676052391529083,169833
