scene,psf_config,assumed_fwhm_m,snr,noise_std,lam,noise_model,rmse_vs_no_psf,rmse_std,noise_penalty,noise_penalty_std,regularization_noise_gain,regularization_noise_gain_std,regularization_noise_gain_pct,regularization_noise_gain_pct_std,n_realizations,n_cells
agriculture,matched,12.5,5.0,0.026345751984639027,0.0,correlated,0.032120161869673244,2.4653182926845444e-05,0.016621594163736535,2.4653182926845864e-05,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.0,white,0.08139154604418519,0.0002682214479307552,0.06589297833824849,0.0002682214479307559,0.0,0.0,0.0,0.0,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.001,correlated,0.032120251859837655,2.4447111357395386e-05,0.016611770852134593,2.4447111357394834e-05,9.82331160193986e-06,8.883965887706692e-07,0.03058254827022802,0.0027598036660181537,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.001,white,0.07978383582740398,0.00024705990947259705,0.06427535481970091,0.0002470599094725977,0.0016176235185475756,2.2592192261156407e-05,1.987400471914834,0.021811017127864745,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.01,correlated,0.0321428849186491,2.3868707390492017e-05,0.016508150241429313,2.386870739049282e-05,0.00011344392230722214,5.10149177741478e-06,0.3531834151078886,0.015814086014864597,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.01,white,0.0694332038678896,0.0001356545932657953,0.053798469190669815,0.000135654593265795,0.012094509147578673,0.00014540394880012154,14.859298659390252,0.13320143495713657,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.1,correlated,0.03262994567383887,2.4450350494884006e-05,0.015442044079972165,2.4450350494883433e-05,0.001179550083764369,1.2717284754679812e-05,3.6722987532869333,0.03891554343534136,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,0.1,white,0.04350629093202227,4.631243653190215e-05,0.026318389338155564,4.631243653190275e-05,0.039574589000092926,0.0002718032024220426,48.62197771367961,0.17909038724527981,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,1.0,correlated,0.034373846149945396,3.633327231878927e-05,0.01224120209773717,3.633327231878939e-05,0.004380392065999363,3.430382530040489e-05,13.63750251093228,0.10441475234407001,10,169654
agriculture,matched,12.5,5.0,0.026345751984639027,1.0,white,0.02965762495058082,5.3905098732693163e-05,0.0075249808983725965,5.390509873269296e-05,0.058367997439875884,0.00028054413779351664,71.71230052579922,0.12162179224075058,10,169654
