scene_class,competitor,n_regions,n_patches,mean_delta_rmse_competitor_minus_matched,delta_ci95_low,delta_ci95_high,matched_win_fraction
agriculture,tikhonov_bicubic,10,10,0.004404676730632528,0.003068348465048543,0.006248827841957817,1.0
agriculture,richardson_lucy,10,10,0.0036392821919547917,0.002367783060722981,0.005366484279424378,1.0
forest,tikhonov_bicubic,10,10,0.0038641546949662667,0.00281776942284676,0.005266024669792316,1.0
forest,richardson_lucy,10,10,0.0032829898929307042,0.0023586837518472827,0.004538922192791738,1.0
urban,tikhonov_bicubic,10,10,0.009964537670587427,0.009097247563551009,0.010798972069578602,1.0
urban,richardson_lucy,10,10,0.008746164319162543,0.007953648698795173,0.009497630401675365,1.0
water,tikhonov_bicubic,10,10,0.0008303108273467013,0.0005242249021224415,0.0011458885634846893,1.0
water,richardson_lucy,10,10,0.00047003322954595317,0.00021344012722109468,0.0007600011648769142,1.0
