scene_class,region_id,psf_aware,xref,delta,rel_gain_pct
agriculture,beauce,0.008885925398112936,0.016479100447938985,0.007593175049826048,46.07760644347377
agriculture,canterbury,0.005487027599401014,0.008456723535167975,0.002969695935766961,35.11638902959566
agriculture,iowa,0.009998954197027343,0.01365244755720556,0.003653493360178216,26.760720704984188
agriculture,mato_grosso,0.004366863195875623,0.007265886099204658,0.002899022903329035,39.89909645908665
agriculture,nile_delta,0.034538373699754286,0.04628156905183603,0.011743195352081744,25.373373445764543
agriculture,pampas,0.02389704752211521,0.03347858289199223,0.00958153536987702,28.619895294817976
agriculture,po_valley,0.0068268011533761065,0.01021273266767404,0.0033859315142979332,33.1540208137954
agriculture,punjab,0.009552076928244968,0.015104418772712814,0.005552341844467845,36.75971864934345
agriculture,ukraine,0.010449485396286033,0.01497609849575768,0.004526613099471647,30.225583123360952
agriculture,western_australia,0.009405938494582258,0.014143566355025892,0.004737627860443634,33.4966990751956
forest,amazon,0.033970053116540215,0.04698487743451949,0.013014824317979276,27.700028240187272
forest,appalachian,0.004544109549599448,0.005804606025043981,0.0012604964754445334,21.715452694052264
forest,black_forest,0.012191072351588714,0.018233843986487887,0.006042771634899174,33.14041536922847
forest,borneo,0.005309216694739635,0.010691362129672966,0.005382145434933331,50.341063838775455
forest,canadian_rockies,0.0031673223538241273,0.004467064456070155,0.001299742102246028,29.096112559554605
forest,congo,0.0017582271742855096,0.0020786591976724215,0.0003204320233869118,15.415322711183995
forest,finland_boreal,0.004250649831760912,0.0068035091128241946,0.0025528592810632822,37.52268481938681
forest,new_zealand,0.004665006405906361,0.007093960080170833,0.0024289536742644726,34.239742637598546
forest,patagonia,0.03251037603864965,0.05798485557451537,0.02547447953586572,43.932987818049995
forest,tasmania,0.003147195333084892,0.004009994100691997,0.0008627987676071047,21.516210396873483
urban,cape_town,0.035124359615545324,0.05447007223527022,0.019345712619724897,35.51622354412493
urban,mexico_city,0.031613339818312075,0.04454786438205333,0.012934524563741258,29.03511704357279
urban,montreal,0.024224232596824366,0.03829278603221823,0.014068553435393864,36.739435525942326
urban,nairobi,0.017914630352665786,0.02655894378946944,0.008644313436803653,32.54765515272902
urban,paris,0.023962028835179294,0.03344743034273082,0.00948540150755153,28.359133752147883
urban,reykjavik,0.029863884624433134,0.041588164260319124,0.01172427963588599,28.19138532419566
urban,sao_paulo,0.030924677917095522,0.04460792388622564,0.01368324596913012,30.674473898471057
urban,singapore,0.012546399985822312,0.0212257961649791,0.008679396179156789,40.8907920894723
urban,sydney,0.027761280589202825,0.04283439356565326,0.015073112976450434,35.18927600398387
urban,tokyo,0.024792905391357267,0.03341610031219476,0.008623194920837494,25.805509440880428
water,caspian_sea,0.0037039478154902838,0.005596416502287619,0.0018924686867973356,33.81572272227702
water,great_salt_lake,0.009182561988130887,0.01266603701378468,0.003483475025653793,27.502485756694565
water,lake_baikal,0.001101991631896061,0.0012516223080525813,0.0001496306761565203,11.954938418230418
water,lake_constance,0.0007276424591211654,0.0008139117752317343,8.626931611056896e-05,10.599344884278969
water,lake_geneva,0.0015693442789974936,0.002278637149616193,0.0007092928706186996,31.127942890695465
water,lake_michigan,0.0006590487428327692,0.000722934608664615,6.388586583184574e-05,8.83701859976713
water,lake_tahoe,0.0006294359087453728,0.0006939193635089853,6.448345476361245e-05,9.292643807709148
water,lake_taupo,5.542970138817274e-05,0.00010176110817163483,4.633140678346209e-05,45.52958160136923
water,lake_titicaca,0.0011099135397752405,0.001387430213252595,0.0002775166734773546,20.002207738201392
water,lake_victoria,0.0030997058916546355,0.003750955180038814,0.0006512492883841785,17.362225276641123
