scene,method,n_cells,rmse,mae,bias,corr,psnr
urban,psf_aware,29910,0.01935480848595545,0.012373546514718036,-8.453055987379317e-05,0.9229890462200012,38.56533508730658
urban,classical_nearest,29910,0.026757552284549197,0.017022279629780247,-6.15209228487138e-05,0.8573620534250362,35.752185000442516
urban,classical_linear,29910,0.02796033162954775,0.017762395585502588,-7.816414072902874e-05,0.8482493199673908,35.370266291802054
urban,classical_cubic,29910,0.02535226416526147,0.01602711341909277,-7.748236539996276e-05,0.8762269061539343,36.2207776254946
urban,richardson_lucy,29910,0.0266975160106925,0.01319922645515113,-0.00043570115644327823,0.8517863626885902,35.771695542095124
water,psf_aware,29892,0.006341303290834334,0.0017442428544765642,3.551053458474059e-05,0.9761695799185651,35.12179898109177
water,classical_nearest,29892,0.008531748942838088,0.0023607211736299196,2.7122934275103247e-05,0.9569484207938928,32.54460813573137
water,classical_linear,29892,0.008861490414929212,0.0024677909039924036,2.0147775641693484e-05,0.953716624061623,32.21523404087384
water,classical_cubic,29892,0.00805530464961217,0.0022119181729008445,2.5153432852590713e-05,0.961798128064812,33.04373008260317
water,richardson_lucy,29892,0.007237022973660728,0.001862540273366628,-5.093458110165661e-05,0.9691645430691407,33.97417045650003
forest,psf_aware,29926,0.007203103237320843,0.004316398623744691,-2.1930859828558164e-05,0.9913852283596019,32.89541743305328
forest,classical_nearest,29926,0.010762149286757746,0.006505272958030815,-3.0006134985517088e-05,0.9811651825276005,29.40782997755449
forest,classical_linear,29926,0.011116664194205091,0.0068548583530272,-9.86212450984303e-06,0.9801299114709707,29.12632047977184
forest,classical_cubic,29926,0.00970780425427849,0.005873964705588441,-1.3804968195285643e-05,0.9847720296645293,30.303390003726847
forest,richardson_lucy,29926,0.008010097180029414,0.004572893064779063,-0.00015833069493992002,0.989448692700645,31.973054517401472
agriculture,psf_aware,29905,0.006409245328534387,0.003681534262711319,-4.0220266123655906e-05,0.9968396445918221,34.47297858690445
agriculture,classical_nearest,29905,0.010420468359040081,0.005852426037371726,-4.740697620575134e-05,0.9918390298876137,30.25137171265786
agriculture,classical_linear,29905,0.010552650744420126,0.006168601459430684,-3.4942473768390674e-05,0.9917787118066236,30.14188520206762
agriculture,classical_cubic,29905,0.008992650515620187,0.005112545114634049,-3.584187961784698e-05,0.9939658776206144,31.531362185056086
agriculture,richardson_lucy,29905,0.0067211699249081144,0.0037779389359113005,-3.500746364075092e-05,0.99653178844452,34.06021898942686
