method,n_patches,operator_build_s_mean_s,operator_build_s_sd_s,operator_build_s_median_s,operator_build_s_q25_s,operator_build_s_q75_s,solve_s_mean_s,solve_s_sd_s,solve_s_median_s,solve_s_q25_s,solve_s_q75_s,projection_s_mean_s,projection_s_sd_s,projection_s_median_s,projection_s_q25_s,projection_s_q75_s,method_total_s_mean_s,method_total_s_sd_s,method_total_s_median_s,method_total_s_q25_s,method_total_s_q75_s,npt_median,npt_q25,npt_q75,operator_nnz_median,operator_nnz_q25,operator_nnz_q75,operator_density_median,operator_density_q25,operator_density_q75,n_cells_estimated_median,n_cells_estimated_q25,n_cells_estimated_q75
bicubic,357,0.0,0.0,0.0,0.0,0.0,0.7593473803828514,0.03210054192913832,0.754173425026238,0.7508542789146304,0.757690651807934,0.0,0.0,0.0,0.0,0.0,0.7593473803828514,0.03210054192913832,0.754173425026238,0.7508542789146304,0.757690651807934,,,,,,,,,,169936.0,169703.0,170414.0
bilinear,357,0.0,0.0,0.0,0.0,0.0,0.1093633303207447,0.025863794408151695,0.10609904117882252,0.10507711721584201,0.10781831666827202,0.0,0.0,0.0,0.0,0.0,0.1093633303207447,0.025863794408151695,0.10609904117882252,0.10507711721584201,0.10781831666827202,,,,,,,,,,169936.0,169703.0,170414.0
nearest,357,0.0,0.0,0.0,0.0,0.0,0.12708155536262386,0.035695400581670624,0.11906343465670943,0.11733038770034909,0.12254737364128232,0.0,0.0,0.0,0.0,0.0,0.12708155536262386,0.035695400581670624,0.11906343465670943,0.11733038770034909,0.12254737364128232,,,,,,,,,,169936.0,169703.0,170414.0
psf_aware_matched,357,0.28544118115939304,0.021448169275992076,0.28217484429478645,0.27915978571400046,0.28558267280459404,0.07055041160309265,0.00035218815125597196,0.0704959649592638,0.07036009291186929,0.0706837410107255,2.3992134552039417,0.4818620744826865,2.1653713257983327,1.95454330323264,2.905929801054299,2.755205047966427,0.4818215130043865,2.5277203214354813,2.318083747290075,3.2568359272554517,22.0,22.0,22.0,1441792.0,1441792.0,1441792.0,0.00012846040208105853,0.00012807600728868915,0.00012862939532490617,171259.0,171034.0,171773.0
psf_aware_minus50,357,0.1782948982481863,0.03559850171151128,0.17049895878881216,0.16857628105208278,0.18574509071186185,0.024051802785915823,0.0007479019618203168,0.02450424013659358,0.02318772627040744,0.024613172747194767,2.3882576368451747,0.4619230197922446,2.1563700968399644,1.9774321229197085,2.8959118500351906,2.5906043378792765,0.46253597752154585,2.3634301531128585,2.190598677843809,3.1183921466581523,9.0,9.0,9.0,589824.0,589824.0,589824.0,5.312994403645895e-05,5.297171310520182e-05,5.320092214931725e-05,169396.0,169170.0,169902.0
psf_aware_plus50,357,0.46211971386260137,0.052205105584473395,0.4444138421677053,0.4389861919917166,0.46843360271304846,0.27791613977303314,0.0004686650331470822,0.2778316028416157,0.2775880713015795,0.27815881092101336,2.4274274073541164,0.48199362677841634,2.202585509046912,1.9746507881209254,2.9686254342086613,3.167463260989751,0.48680643166908655,2.9677398134954274,2.7325230771675706,3.7203141786158085,48.0,48.0,48.0,3145728.0,3145728.0,3145728.0,0.00027708666462700096,0.00027627330336535416,0.00027746145886922897,173231.0,172997.0,173741.0
