Scene class,Regions,PSF-aware RMSE,Nearest-neighbor RMSE,Nearest-neighbor delta,Nearest-neighbor delta lo,Nearest-neighbor delta hi,Nearest-neighbor win,Bilinear RMSE,Bilinear delta,Bilinear delta lo,Bilinear delta hi,Bilinear win,Bicubic RMSE,Bicubic delta,Bicubic delta lo,Bicubic delta hi,Bicubic win,Richardson-Lucy RMSE,Richardson-Lucy delta,Richardson-Lucy delta lo,Richardson-Lucy delta hi,Richardson-Lucy win,Aggregate By RMSE,Aggregate By delta,Aggregate By delta lo,Aggregate By delta hi,Aggregate By win
agriculture,10,0.012340849358477578,0.016959512438050002,0.004618663079572425,0.003304877022421083,0.006121541320136156,1.0,0.017392781689074512,0.005051932330596934,0.0035749653588407456,0.006752013758164924,1.0,0.016062656978606055,0.003721807620128477,0.0025927742432899754,0.005039995684848646,1.0,0.014282398617524356,0.0019415492590467772,0.0013959237528952354,0.0025376405186035827,1.0,0.018005112587451584,0.005664263228974007,0.004012472390063953,0.007548416422398493,1.0
forest,10,0.010551322884997947,0.015423137125180373,0.004871814240182428,0.0017178926971318958,0.009282882178261504,1.0,0.015786773530600356,0.005235450645602412,0.0018309210013473852,0.009936363639608847,1.0,0.014399085446026912,0.0038477625610289674,0.0013490988756150772,0.007239875951387635,1.0,0.01284919811867056,0.0022978752336726164,0.0008185126919574051,0.004179916759365376,1.0,0.01641527320976693,0.005863950324768984,0.0020512285214611486,0.011108242015170963,1.0
urban,10,0.025872773972643794,0.035708214417007736,0.00983544044436395,0.008223342768187165,0.011563665673872013,1.0,0.03683240302870748,0.01095962905606369,0.009160182019186343,0.012845005818149643,1.0,0.03410254296793499,0.008229768995291202,0.0068683092735706075,0.009651551023716076,1.0,0.031061153600923052,0.005188379628279263,0.0040926162545437,0.006636570155461745,1.0,0.038098947497111395,0.012226173524467603,0.010233591266665098,0.014328327300526269,1.0
water,10,0.002183902195803208,0.002791269733035088,0.0006073675372318801,0.00016056319884599478,0.0012124693469685243,1.0,0.0028427480064140676,0.0006588458106108596,0.00018268283527790577,0.0013251161157154124,1.0,0.0026787433796507344,0.0004948411838475262,0.00014517618455778435,0.000991244149421699,1.0,0.0024536516303176616,0.0002697494345144537,7.732216073872046e-05,0.0005440655340930955,1.0,0.0029263625222609455,0.000742460326457737,0.00020119985871383175,0.0015014102542752616,1.0
