scene_class,method,n_regions,mean_rmse,rmse_ci95_low,rmse_ci95_high,ci_reportable,between_region_sd
agriculture,classical_cubic,10,0.018908955265169964,0.011002420494984193,0.029817476225236342,True,
agriculture,classical_linear,10,0.018929131172942038,0.012116829810714063,0.027321711893126936,True,
agriculture,classical_nearest,10,0.01879843513451767,0.01184150854168216,0.027594112049363347,True,
agriculture,psf_aware,10,0.01384402161859664,0.008002014610908284,0.02148467494355548,True,
agriculture,richardson_lucy,10,0.022674949444405235,0.009646315100633828,0.044205704047152426,True,
forest,classical_cubic,10,0.01439908563158045,0.005551337868290253,0.025649496333176088,True,0.01708874121186259
forest,classical_linear,10,0.01578677370973105,0.0060058773437497255,0.028199531524346885,True,0.018895543537297818
forest,classical_nearest,10,0.015423137322022277,0.005886937653818824,0.027491015662148753,True,0.0184120113544213
forest,psf_aware,10,0.010551323077377252,0.004136846146352392,0.01858026159763503,True,0.012283242042446232
forest,richardson_lucy,10,0.012849198357770066,0.005042546538164914,0.022469824527795976,True,0.01478867028515545
urban,classical_cubic,10,0.03544376119225293,0.029401257042408036,0.04092232115158264,True,0.009749927726757575
urban,classical_linear,10,0.03823187247594676,0.0317875710321547,0.04404030147388337,True,0.010366995039140068
urban,classical_nearest,10,0.03705124469944661,0.030830074685304455,0.0426960436136816,True,0.010040172291892706
urban,psf_aware,10,0.026941002519278102,0.022042621246963306,0.03125670604305026,True,0.0078007423115163095
urban,richardson_lucy,10,0.03213727590235259,0.0277532085215696,0.03639503882545072,True,0.007325603496653584
water,classical_cubic,10,0.0016652832727255377,0.000896776593834389,0.0026148808084087596,True,0.0014891017680824029
water,classical_linear,10,0.0017646683714460563,0.0009328758813097397,0.002797881536716821,True,0.0016135197204524892
water,classical_nearest,10,0.00174312066438087,0.000916532190091467,0.0027793884847335353,True,0.0016099714788061948
water,psf_aware,10,0.00137144399911818,0.0007699787259530804,0.002088563572870955,True,0.0011522929645136337
water,richardson_lucy,10,0.0015286900952471154,0.0008403772354803732,0.002373216384241192,True,0.0013297301582517475
