competitor,n_regions,psf_aware_wins,win_fraction,sign_test_p,mean_delta_rmse,delta_ci95_low,delta_ci95_high
classical_cubic,40,40,1.0,1.8189894035458565e-12,0.002968439499505166,0.0020998084882701716,0.0038626321149372532
classical_linear,40,40,1.0,1.8189894035458565e-12,0.004434983171805765,0.003156603487956777,0.005772925424166477
classical_nearest,40,40,1.0,1.8189894035458565e-12,0.004059755629046808,0.002898893218893112,0.005284723946049791
richardson_lucy,40,40,1.0,1.8189894035458565e-12,0.0017249311398047067,0.0011466288922331559,0.002403574210556178
