stage,n_patches,mean_s,sd_s,median_s,q25_s,q75_s
esri_patch_load_s,357,0.03800214159743292,0.009888243983373944,0.036100233905017376,0.0325899850577116,0.04131959844380617
synthetic_build_s,357,1.0729396462242227,0.09690712086212891,1.0338338566944003,1.0166069585829973,1.0686338851228356
spectral_analysis_s,357,0.008828675376997441,0.00032389398524204253,0.008809451013803482,0.008634398691356182,0.00898390356451273
checkpoint_write_s,357,0.02521305199691645,0.008300929580813757,0.02515649050474167,0.019077742472290993,0.030451794154942036
cleanup_s,357,0.22890494492541508,0.04831803842138497,0.2271497342735529,0.19432537723332644,0.25251236744225025
patch_wall_s,357,10.27079351766541,1.7761411205125441,9.542106772772968,8.875267747789621,11.828551100566983
peak_gpu_memory_mib,357,1066.8864985447303,119.94151655896037,1021.39794921875,1021.3828125,1021.4443359375
peak_rss_mib,357,18467.322457107843,137.42266436029118,18399.109375,18384.546875,18414.43359375
rss_start_mib,357,18467.06011467087,137.33284538360175,18398.6484375,18384.3828125,18414.32421875
rss_end_mib,357,18466.304074754902,136.86706569530784,18398.6484375,18384.3828125,18414.3203125
rss_after_cleanup_mib,357,18466.300168504902,136.86706569530784,18398.64453125,18384.37890625,18414.31640625
