n_patches,cumulative_patch_wall_s,patches_per_hour,cumulative_operator_nnz,median_healpix_cells,peak_rss_mib,peak_gpu_memory_mib
1,8.561573546379805,420.4834520778289,5177344.0,174474.0,18829.7421875,1021.45556640625
2,17.11284433072433,420.7366035039044,10354688.0,174316.0,18836.7890625,1021.45703125
5,43.41147905960679,414.63687462214375,25886720.0,174240.0,18842.07421875,1021.45751953125
10,86.07364018494263,418.2465145269607,51773440.0,174198.5,18851.671875,1021.45751953125
20,181.34924362320453,397.0239884187046,103546880.0,174049.0,18854.01953125,1021.45751953125
50,491.7357201012783,366.050284008099,258867200.0,173808.5,18856.9375,1021.45751953125
100,963.4435555231757,373.6596689408653,517734400.0,173464.0,18866.87109375,1382.2587890625
200,1926.7550307111815,373.6852835589805,1035468800.0,173361.0,18883.828125,1382.2783203125
357,3421.0157875292934,375.6778921292818,1848311808.0,173231.0,18919.5859375,1382.2783203125
