patch_id,scene_class,region_id,location,anchor_lat,anchor_lon,patch_lat,patch_lon,abs_latitude_band,utm_epsg,east_offset_m,north_offset_m,true_fwhm_m,lambda,max_iter,healpix_level,device,rmse_psf_degradation,method,operator_fwhm_m,rmse_vs_latent,recovery_fraction,n_cells_compared,n_cells_estimated,npt,operator_rows,operator_cols,operator_nnz,operator_density,operator_build_s,solve_s,projection_s,runtime_s,method_total_s,patch_execution_status,run_sequence,benchmark_included
urban__singapore__r0c1,urban,singapore,Singapore,1.2903,103.8519,1.2541182383741496,103.85191599538406,00-15,32648,0.0,-4000.0,12.5,0.001,14,20,cuda:0,0.030746484242990275,bicubic,,0.03378861290984562,-0.09894232598476371,169862,170971,,,,,,0.0,0.763301792088896,0.0,0.763301792088896,0.763301792088896,computed,2,True
urban__singapore__r0c2,urban,singapore,Singapore,1.2903,103.8519,1.254133860201693,103.88786449936873,00-15,32648,4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.033972268440468655,blurred_observation,12.5,0.033972268440468655,0.0,170807,170807,,,,,,0.0,0.0,0.0,0.0,0.0,computed,3,True
urban__singapore__r0c2,urban,singapore,Singapore,1.2903,103.8519,1.254133860201693,103.88786449936873,00-15,32648,4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.033972268440468655,psf_aware_matched,12.5,0.03182076223448461,0.06333124942051604,170807,172207,22.0,65536.0,172207.0,1441792.0,0.00012775322722072854,0.28696239087730646,0.04051970690488815,1.7308419728651643,0.3274820977821946,2.058324070647359,computed,3,True
urban__singapore__r0c2,urban,singapore,Singapore,1.2903,103.8519,1.254133860201693,103.88786449936873,00-15,32648,4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.033972268440468655,psf_aware_plus50,18.75,0.04291744171933361,-0.2633080947932587,170807,174158,48.0,65536.0,174158.0,3145728.0,0.00027561180077860335,0.44041622104123235,0.08089064108207822,1.7601629886776209,0.5213068621233106,2.2814698508009315,computed,3,True
urban__singapore__r0c2,urban,singapore,Singapore,1.2903,103.8519,1.254133860201693,103.88786449936873,00-15,32648,4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.033972268440468655,psf_aware_minus50,6.25,0.036349330432748586,-0.069970658463546,170362,170362,9.0,65536.0,170362.0,589824.0,5.2828682452659634e-05,0.1761003229767084,0.022841852623969316,1.7107194298878312,0.19894217560067773,1.909661605488509,computed,3,True
urban__singapore__r0c2,urban,singapore,Singapore,1.2903,103.8519,1.254133860201693,103.88786449936873,00-15,32648,4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.033972268440468655,nearest,,0.037096610853690204,-0.09196743569527888,169942,170807,,,,,,0.0,0.12567148823291063,0.0,0.12567148823291063,0.12567148823291063,computed,3,True
urban__singapore__r0c2,urban,singapore,Singapore,1.2903,103.8519,1.254133860201693,103.88786449936873,00-15,32648,4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.033972268440468655,bilinear,,0.0378271273250859,-0.11347075310476562,169942,170807,,,,,,0.0,0.11027630930766463,0.0,0.11027630930766463,0.11027630930766463,computed,3,True
urban__singapore__r0c2,urban,singapore,Singapore,1.2903,103.8519,1.254133860201693,103.88786449936873,00-15,32648,4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.033972268440468655,bicubic,,0.036504380801652955,-0.07453468600783753,169942,170807,,,,,,0.0,0.7595370621420443,0.0,0.7595370621420443,0.7595370621420443,computed,3,True
urban__singapore__r1c0,urban,singapore,Singapore,1.2903,103.8519,1.2902834163465642,103.81595145072481,00-15,32648,-4000.0,0.0,12.5,0.001,14,20,cuda:0,0.06414455887330683,blurred_observation,12.5,0.06414455887330683,0.0,170766,170766,,,,,,0.0,0.0,0.0,0.0,0.0,computed,4,True
urban__singapore__r1c0,urban,singapore,Singapore,1.2903,103.8519,1.2902834163465642,103.81595145072481,00-15,32648,-4000.0,0.0,12.5,0.001,14,20,cuda:0,0.06414455887330683,psf_aware_matched,12.5,0.051587685112963355,0.19575898534347713,170766,172193,22.0,65536.0,172193.0,1441792.0,0.00012776361408419623,0.27697901194915175,0.04043405503034592,1.766269485000521,0.31741306697949767,2.0836825519800186,computed,4,True
urban__singapore__r1c0,urban,singapore,Singapore,1.2903,103.8519,1.2902834163465642,103.81595145072481,00-15,32648,-4000.0,0.0,12.5,0.001,14,20,cuda:0,0.06414455887330683,psf_aware_plus50,18.75,0.09951272744945294,-0.5513822091442311,170766,174276,48.0,65536.0,174276.0,3145728.0,0.00027542518763340907,0.4610005277208984,0.08105376083403826,1.785128084011376,0.5420542885549366,2.3271823725663126,computed,4,True
urban__singapore__r1c0,urban,singapore,Singapore,1.2903,103.8519,1.2902834163465642,103.81595145072481,00-15,32648,-4000.0,0.0,12.5,0.001,14,20,cuda:0,0.06414455887330683,psf_aware_minus50,6.25,0.07459625123826481,-0.16293965612268568,170502,170502,9.0,65536.0,170502.0,589824.0,5.2785304571207376e-05,0.1787145039997995,0.022142909932881594,1.778321382123977,0.20085741393268108,1.979178796056658,computed,4,True
