zoom,tile_x,tile_y,sha256,path
17,128134,83164,7f490f20abf386910b1466fa9be9d935baa3566458f0481ac3376a9c5b3a1e85,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83164.jpg
17,128134,83165,093ce92029267d6bacc201f6bdb8025e75f644a1b751773c742c6da813685b83,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83165.jpg
17,128134,83166,569258111d680cadd96851ac0c78b90c0acf97af3de35d4cb36c690ba0548001,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83166.jpg
17,128134,83167,cfd001c1a0f88f91c1de4c3c07c0520bd8731d16cedfc49d21602191628958e2,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83167.jpg
17,128134,83168,bf004865ae05ea7e3e3fb39d899787446a651509a08113fafa28b773723badd6,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83168.jpg
17,128134,83169,68eb79306ac1a8270234c890a019913a110f3995bffce156734a51290d8b41d1,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83169.jpg
17,128134,83170,865d5706a868e37730bdf91806a3c1b6dddb4cfa0a3b4549153467d6959e65f7,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83170.jpg
17,128134,83171,0838f014c503f1264d57f65e166898d987423f8e938ef676fc6a488fcffca99f,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83171.jpg
17,128134,83172,096d9eb2577569cc4a3f3712b56b7547d2b21b6c9bfeb2f9f926530e16298255,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83172.jpg
17,128134,83173,850d972f69508ab327bd4dbabfca28578314b253e15efb22ba6287697d717cfa,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83173.jpg
17,128134,83174,9d2314ae46f4468678503d8f55f412335ce02f556dbe87fde064489a7445ae4a,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83174.jpg
17,128134,83175,8494b96149d3bcb0f302b1a3c3e4010fa3e5b44e2dd72e08e6acff2c8055e855,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83175.jpg
17,128134,83176,17c4ecdfa76ff1ae43440fffc8db4bdfa4d9f185d510787fa9115f55f3b7fee1,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83176.jpg
17,128134,83177,d610406e853dbe23898d19d815e170d6558abef404c3dd77b49bc12f60500a3a,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83177.jpg
17,128134,83178,64f94eca0a1f465b32a41a39eb58581fcfc3eb0b2960b0e7f5bc76298bbd7dae,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83178.jpg
17,128134,83179,3f76536e8f07385e45e69813ca5198e1f57f2d5a407383d64b365aeb98eb781a,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83179.jpg
17,128134,83180,de40fba3cce55f534d50c8b5f9929d4796d6e27fafe3d55306762cd490b95a55,/home/jovyan/healpix-resample/notebooks/data/multi_patch_latitude/esri_tile_cache/z17/x128134/y83180.jpg
