Scene,PSF-aware RMSE,PSF-aware SSIM,Nearest-neighbor RMSE,Nearest-neighbor SSIM,Bilinear RMSE,Bilinear SSIM,Bicubic RMSE,Bicubic SSIM
urban,1.008223441129978e-05,0.9999999770272432,0.005539024826169356,0.9974469365243737,0.012100473227121064,0.9558690012555005,0.011972845410484748,0.9602321118167977
water,3.4751677821533354e-06,0.9999999943703131,0.0010456680127996457,0.9949452943575043,0.004268944207707489,0.9860403187463893,0.0041243627381368315,0.9882869779714024
forest,3.2808891955356997e-06,0.9999999866649666,0.0010762400772019562,0.9911789785766006,0.004145463682693295,0.9663427971774815,0.0045928231403335375,0.9692913687839545
agriculture,2.8400762446204126e-06,0.9999999914369144,0.000808477935424889,0.9958164677018368,0.003712258533353213,0.9838677372886468,0.0046865223617815355,0.9821504534771852
