scene,rmse_vs_cell_average,rmse_vs_point_sample,n_cells_compared
urban,0.06926453858613968,0.16678187251091003,169853
water,0.020465325564146042,0.04615674912929535,169804
forest,0.024453165009617805,0.06085262447595596,169853
agriculture,0.012897287495434284,0.03012927994132042,169849
