patch_id,scene_class,region_id,location,anchor_lat,anchor_lon,patch_lat,patch_lon,abs_latitude_band,utm_epsg,east_offset_m,north_offset_m,patch_row,patch_col
urban__cape_town__r2c0,urban,cape_town,"Cape Town, South Africa",-33.9249,18.4241,-33.88794908584836,18.381971074093535,30-45,32734,-4000.0,4000.0,2,0
urban__cape_town__r2c1,urban,cape_town,"Cape Town, South Africa",-33.9249,18.4241,-33.88886032601885,18.42518453531914,30-45,32734,0.0,4000.0,2,1
urban__cape_town__r2c2,urban,cape_town,"Cape Town, South Africa",-33.9249,18.4241,-33.88975643059475,18.46839992265851,30-45,32734,4000.0,4000.0,2,2
urban__sydney__r0c0,urban,sydney,"Sydney, Australia",-33.8688,151.2093,-33.904221970944,151.16530175038037,30-45,32756,-4000.0,-4000.0,0,0
urban__sydney__r0c1,urban,sydney,"Sydney, Australia",-33.8688,151.2093,-33.904858663668826,151.20854618059698,30-45,32756,0.0,-4000.0,0,1
urban__sydney__r0c2,urban,sydney,"Sydney, Australia",-33.8688,151.2093,-33.90548018506739,151.25179195262064,30-45,32756,4000.0,-4000.0,0,2
urban__sydney__r1c0,urban,sydney,"Sydney, Australia",-33.8688,151.2093,-33.86816416743214,151.16607374187643,30-45,32756,-4000.0,0.0,1,0
urban__sydney__r1c1,urban,sydney,"Sydney, Australia",-33.8688,151.2093,-33.86879999999999,151.2093,30-45,32756,0.0,0.0,1,1
urban__sydney__r1c2,urban,sydney,"Sydney, Australia",-33.8688,151.2093,-33.869420681725536,151.25252759765013,30-45,32756,4000.0,0.0,1,2
urban__sydney__r2c0,urban,sydney,"Sydney, Australia",-33.8688,151.2093,-33.83210613711003,151.16684436158428,30-45,32756,-4000.0,4000.0,2,0
urban__sydney__r2c1,urban,sydney,"Sydney, Australia",-33.8688,151.2093,-33.83274111023,151.2100524798755,30-45,32756,0.0,4000.0,2,1
urban__sydney__r2c2,urban,sydney,"Sydney, Australia",-33.8688,151.2093,-33.83336095297478,151.2532619354189,30-45,32756,4000.0,4000.0,2,2
urban__mexico_city__r0c0,urban,mexico_city,"Mexico City, Mexico",19.4326,-99.1332,19.396419093262978,-99.17126634016445,15-30,32614,-4000.0,-4000.0,0,0
urban__mexico_city__r0c1,urban,mexico_city,"Mexico City, Mexico",19.4326,-99.1332,19.396450987683966,-99.13317056114029,15-30,32614,0.0,-4000.0,0,1
urban__mexico_city__r0c2,urban,mexico_city,"Mexico City, Mexico",19.4326,-99.1332,19.396474899912338,-99.0950747164355,15-30,32614,4000.0,-4000.0,0,2
urban__mexico_city__r1c0,urban,mexico_city,"Mexico City, Mexico",19.4326,-99.1332,19.432568041496072,-99.17130420043806,15-30,32614,-4000.0,0.0,1,0
urban__mexico_city__r1c1,urban,mexico_city,"Mexico City, Mexico",19.4326,-99.1332,19.4326,-99.1332,15-30,32614,0.0,0.0,1,1
urban__mexico_city__r1c2,urban,mexico_city,"Mexico City, Mexico",19.4326,-99.1332,19.43262396027334,-99.09509573381472,15-30,32614,4000.0,0.0,1,2
urban__mexico_city__r2c0,urban,mexico_city,"Mexico City, Mexico",19.4326,-99.1332,19.46871684584549,-99.17134214526682,15-30,32614,-4000.0,4000.0,2,0
urban__mexico_city__r2c1,urban,mexico_city,"Mexico City, Mexico",19.4326,-99.1332,19.468748868459762,-99.13322950460694,15-30,32614,0.0,4000.0,2,1
urban__mexico_city__r2c2,urban,mexico_city,"Mexico City, Mexico",19.4326,-99.1332,19.468772876798614,-99.09511679813309,15-30,32614,4000.0,4000.0,2,2
urban__tokyo__r0c0,urban,tokyo,"Tokyo, Japan",35.6762,139.6503,35.63964131912426,139.6067378271551,30-45,32654,-4000.0,-4000.0,0,0
urban__tokyo__r0c1,urban,tokyo,"Tokyo, Japan",35.6762,139.6503,35.640144198849526,139.65090666203452,30-45,32654,0.0,-4000.0,0,1
urban__tokyo__r0c2,urban,tokyo,"Tokyo, Japan",35.6762,139.6503,35.64063088818847,139.69507657344073,30-45,32654,4000.0,-4000.0,0,2
urban__tokyo__r1c0,urban,tokyo,"Tokyo, Japan",35.6762,139.6503,35.67569645573704,139.6061113186456,30-45,32654,-4000.0,0.0,1,0
urban__tokyo__r1c1,urban,tokyo,"Tokyo, Japan",35.6762,139.6503,35.676200000000016,139.6503,30-45,32654,0.0,0.0,1,1
urban__tokyo__r1c2,urban,tokyo,"Tokyo, Japan",35.6762,139.6503,35.67668733248947,139.69448975980802,30-45,32654,4000.0,0.0,1,2
urban__tokyo__r2c0,urban,tokyo,"Tokyo, Japan",35.6762,139.6503,35.711751366415804,139.60548369642157,30-45,32654,-4000.0,4000.0,2,0
urban__tokyo__r2c1,urban,tokyo,"Tokyo, Japan",35.6762,139.6503,35.71225557580426,139.6496922595109,30-45,32654,0.0,4000.0,2,1
