scene,psf_config,assumed_fwhm_m,npt,snr,noise_std,lam,rmse_vs_no_psf,noise_model,realization,seed,n_cells,rmse_clean,noise_penalty,noise_penalty_lam0,rmse_noisy_lam0,regularization_noise_gain,regularization_noise_gain_pct
urban,matched,12.5,22,inf,0.0,0.0,0.0683142883420058,none,0,1234,169675,0.0683142883420058,0.0,0.0,0.0683142883420058,0.0,0.0
urban,matched,12.5,22,inf,0.0,0.001,0.0683953330813333,none,0,1234,169675,0.0683953330813333,0.0,0.0,0.0683142883420058,0.0,0.0
urban,matched,12.5,22,inf,0.0,0.01,0.06926453552915494,none,0,1234,169675,0.06926453552915494,0.0,0.0,0.0683142883420058,0.0,0.0
urban,matched,12.5,22,inf,0.0,0.1,0.07773709273896316,none,0,1234,169675,0.07773709273896316,0.0,0.0,0.0683142883420058,0.0,0.0
urban,matched,12.5,22,inf,0.0,1.0,0.09939127549633432,none,0,1234,169675,0.09939127549633432,0.0,0.0,0.0683142883420058,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06842138416906332,white,0,2234,169675,0.0683142883420058,0.00010709582705752119,0.00010709582705752119,0.06842138416906332,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06849859022088951,white,0,2234,169675,0.0683953330813333,0.0001032571395562093,0.00010709582705752119,0.06842138416906332,3.838687501311888e-06,0.005610362239715618
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06934364888428737,white,0,2234,169675,0.06926453552915494,7.911335513242912e-05,0.00010709582705752119,0.06842138416906332,2.7982471925092067e-05,0.040897260797808185
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.07776546718872533,white,0,2234,169675,0.07773709273896316,2.837444976216963e-05,0.00010709582705752119,0.06842138416906332,7.872137729535156e-05,0.11505376316392232
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09940015983413147,white,0,2234,169675,0.09939127549633432,8.884337797152031e-06,0.00010709582705752119,0.06842138416906332,9.821148926036916e-05,0.14353917339306826
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.0684214873441294,white,1,2235,169675,0.0683142883420058,0.00010719900212359523,0.00010719900212359523,0.0684214873441294,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06849887472170332,white,1,2235,169675,0.0683953330813333,0.00010354164037001956,0.00010719900212359523,0.0684214873441294,3.657361753575672e-06,0.0053453409090345886
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.0693443699836533,white,1,2235,169675,0.06926453552915494,7.983445449835647e-05,0.00010719900212359523,0.0684214873441294,2.7364547625238766e-05,0.03999408473482514
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.07776255052307435,white,1,2235,169675,0.07773709273896316,2.5457784111185267e-05,0.00010719900212359523,0.0684214873441294,8.174121801240997e-05,0.11946717498450202
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09939367884398868,white,1,2235,169675,0.09939127549633432,2.403347654361676e-06,0.00010719900212359523,0.0684214873441294,0.00010479565446923356,0.15316190649606667
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06841885433887519,white,2,2236,169675,0.0683142883420058,0.0001045659968693935,0.0001045659968693935,0.06841885433887519,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06849583393038565,white,2,2236,169675,0.0683953330813333,0.00010050084905234569,0.0001045659968693935,0.06841885433887519,4.0651478170478095e-06,0.00594156078222727
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06933981143818677,white,2,2236,169675,0.06926453552915494,7.527590903182169e-05,0.0001045659968693935,0.06841885433887519,2.929008783757181e-05,0.0428099653532628
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.07776133669410557,white,2,2236,169675,0.07773709273896316,2.424395514240285e-05,0.0001045659968693935,0.06841885433887519,8.032204172699065e-05,0.11739752514586047
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09939663613172627,white,2,2236,169675,0.09939127549633432,5.360635391943314e-06,0.0001045659968693935,0.06841885433887519,9.920536147745018e-05,0.14499710998680415
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06842231103200726,white,3,2237,169675,0.0683142883420058,0.00010802269000145803,0.00010802269000145803,0.06842231103200726,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06849913302964811,white,3,2237,169675,0.0683953330813333,0.00010379994831480333,0.00010802269000145803,0.06842231103200726,4.222741686654707e-06,0.006171585880341505
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06934222221683572,white,3,2237,169675,0.06926453552915494,7.76866876807808e-05,0.00010802269000145803,0.06842231103200726,3.0336002320677236e-05,0.044336418725299066
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.07776290721516307,white,3,2237,169675,0.07773709273896316,2.581447619991184e-05,0.00010802269000145803,0.06842231103200726,8.220821380154619e-05,0.12014825655785001
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.0993983125692379,white,3,2237,169675,0.09939127549633432,7.037072903573471e-06,0.00010802269000145803,0.06842231103200726,0.00010098561709788456,0.14759164894422305
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06843160649604131,white,4,2238,169675,0.0683142883420058,0.00011731815403551171,0.00011731815403551171,0.06843160649604131,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06850867974994458,white,4,2238,169675,0.0683953330813333,0.00011334666861127773,0.00011731815403551171,0.06843160649604131,3.971485424233978e-06,0.005803583501234512
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06935244941423872,white,4,2238,169675,0.06926453552915494,8.791388508377906e-05,0.00011731815403551171,0.06843160649604131,2.940426895173265e-05,0.04296884211454783
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.07776740043849732,white,4,2238,169675,0.07773709273896316,3.0307699534160015e-05,0.00011731815403551171,0.06843160649604131,8.70104545013517e-05,0.12714951315133183
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09939942047862746,white,4,2238,169675,0.09939127549633432,8.144982293137315e-06,0.00011731815403551171,0.06843160649604131,0.0001091731717423744,0.15953618120698357
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06841989357746221,white,5,2239,169675,0.0683142883420058,0.00010560523545641298,0.00010560523545641298,0.06841989357746221,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06849660096933417,white,5,2239,169675,0.0683953330813333,0.00010126788800086939,0.00010560523545641298,0.06841989357746221,4.337347455543594e-06,0.006339307515339857
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06933877215488825,white,5,2239,169675,0.06926453552915494,7.423662573330381e-05,0.00010560523545641298,0.06841989357746221,3.1368609723109175e-05,0.045847206247982414
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.07775726622350879,white,5,2239,169675,0.07773709273896316,2.0173484545624176e-05,0.00010560523545641298,0.06841989357746221,8.54317509107888e-05,0.12486390498995217
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09939318786115961,white,5,2239,169675,0.09939127549633432,1.9123648252877823e-06,0.00010560523545641298,0.06841989357746221,0.0001036928706311252,0.15155368593745086
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06842742998944555,white,6,2240,169675,0.0683142883420058,0.00011314164743975175,0.00011314164743975175,0.06842742998944555,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06850432533817838,white,6,2240,169675,0.0683953330813333,0.00010899225684507519,0.00011314164743975175,0.06842742998944555,4.149390594676561e-06,0.00606392874219677
urban,matched,12.5,22,100.0,0.0013009534832244293,0.01,0.06934735086617598,white,6,2240,169675,0.06926453552915494,8.281533702103605e-05,0.00011314164743975175,0.06842742998944555,3.0326310418715696e-05,0.044318938214387586
urban,matched,12.5,22,100.0,0.0013009534832244293,0.1,0.0777641099770174,white,6,2240,169675,0.07773709273896316,2.7017238054233284e-05,0.00011314164743975175,0.06842742998944555,8.612440938551846e-05,0.1258624054692724
urban,matched,12.5,22,100.0,0.0013009534832244293,1.0,0.09939703307832033,white,6,2240,169675,0.09939127549633432,5.757581986010063e-06,0.00011314164743975175,0.06842742998944555,0.00010738406545374168,0.1569313146355269
urban,matched,12.5,22,100.0,0.0013009534832244293,0.0,0.06842598929451446,white,7,2241,169675,0.0683142883420058,0.00011170095250866152,0.00011170095250866152,0.06842598929451446,0.0,0.0
urban,matched,12.5,22,100.0,0.0013009534832244293,0.001,0.06850295208186132,white,7,2241,169675,0.0683953330813333,0.00010761900052801143,0.00011170095250866152,0.06842598929451446,4.081951980650089e-06,0.00596549939976875
