scene,method,n_cells,rmse,mae,bias,corr,psnr
region__water__lake_victoria,psf_aware,28949,0.001987640726571,0.001517119267083906,4.87231488956549e-06,0.7023929580781608,22.315988156677797
region__water__lake_victoria,classical_nearest,28949,0.0023816861763795174,0.0018733693545110864,3.910422839357913e-06,0.5727452486976079,20.745055173651444
region__water__lake_victoria,classical_linear,28949,0.0024509104621962966,0.001933829110147809,5.157940639700559e-06,0.5409197549305835,20.49619697916274
region__water__lake_victoria,classical_cubic,28949,0.0023581035868540075,0.0018576526543196093,4.987858791496104e-06,0.5953351219047958,20.83148831541493
region__water__lake_victoria,richardson_lucy,28949,0.002135369666389088,0.0016616083500910236,2.8244742083299954e-06,0.6693752100618026,21.693284510252102
