Scene,PSF-aware RMSE,PSF-aware SSIM,Nearest-neighbor RMSE,Nearest-neighbor SSIM,Bilinear RMSE,Bilinear SSIM,Bicubic RMSE,Bicubic SSIM,Richardson-Lucy RMSE,Richardson-Lucy SSIM
urban,0.04609394709804584,0.7184776426044632,0.04685652057181501,0.7025962985834235,0.04654119421296139,0.7066027919753213,0.045300604279589124,0.7151992121051955,0.044807648605796675,0.7321612260422649
water,0.00110633569659761,0.2231045994966911,0.0006019353376630505,0.19903535748037,0.0008684516577788941,0.19709429089585773,0.0007982650896507942,0.2015046374682192,0.0007474479244826416,0.2147654004086006
forest,0.021109530489010004,0.5784132307386768,0.023361537610119637,0.5186967727531078,0.021908209798474767,0.5488147833651801,0.019979563851075074,0.5886722531153138,0.018426259505404115,0.6245746979883704
agriculture,0.019301126011983128,0.6879184798194679,0.022341489945990767,0.6500001266893695,0.02051761900091161,0.6925711224323333,0.01826063751332893,0.7253156465832863,0.01600195498560988,0.7487737885939274
