competitor,n_regions,psf_aware_wins,win_fraction,sign_test_p,mean_delta_rmse,delta_ci95_low,delta_ci95_high
classical_cubic,39,39,1.0,3.637978807091713e-12,0.004410974559667023,0.003035180243999508,0.005864368316641734
classical_linear,39,39,1.0,3.637978807091713e-12,0.005511831682118257,0.003841697596584784,0.0072360855718835645
classical_nearest,39,39,1.0,3.637978807091713e-12,0.005080180834462857,0.0035556589228655563,0.006667513707622438
richardson_lucy,39,39,1.0,3.637978807091713e-12,0.003999802513544611,0.0018111186900452143,0.007722013961909559
