asset_id,category,source,source_identifier,relative_path,kind,required_by,expected_shape,status,bytes,sha256,archive_doi,notes
esri_multipatch_urban__singapore__r2c2,primary_input,Esri World Imagery,zoom=17;lat=1.326498274610578;lon=103.88783306872739,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__singapore__r2c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__nairobi__r0c0,primary_input,Esri World Imagery,zoom=17;lat=-1.3225305542879326;lon=36.78123901895743,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__nairobi__r0c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__nairobi__r0c1,primary_input,Esri World Imagery,zoom=17;lat=-1.3225626302473925;lon=36.8171688223362,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__nairobi__r0c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__nairobi__r0c2,primary_input,Esri World Imagery,zoom=17;lat=-1.3225941835392068;lon=36.85309949078891,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__nairobi__r0c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__nairobi__r1c0,primary_input,Esri World Imagery,zoom=17;lat=-1.286368801375594;lon=36.781270708793215,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__nairobi__r1c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__nairobi__r1c1,primary_input,Esri World Imagery,zoom=17;lat=-1.2863999999999969;lon=36.8172,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__nairobi__r1c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__nairobi__r1c2,primary_input,Esri World Imagery,zoom=17;lat=-1.2864306902526315;lon=36.85313015621936,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__nairobi__r1c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__nairobi__r2c0,primary_input,Esri World Imagery,zoom=17;lat=-1.2502070374169012;lon=36.781301519406156,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__nairobi__r2c0__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__nairobi__r2c1,primary_input,Esri World Imagery,zoom=17;lat=-1.2502373587298494;lon=36.817230312650956,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__nairobi__r2c1__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
esri_multipatch_urban__nairobi__r2c2,primary_input,Esri World Imagery,zoom=17;lat=-1.2502671859665244;lon=36.85315997084865,notebooks/data/multi_patch_latitude/esri_patch_cache/urban__nairobi__r2c2__z17_n256_os4_gsd10.zarr,zarr,multi_patch_latitude_validation.ipynb;throughput_scaling_benchmark.ipynb,latent_hr:1024x1024 float32,missing,,,,One of 360 selected patches; retain even when the reference degradation is degenerate.
